DATADECADASTRO;QTDE
2014-08-27;1
2014-10-03;1
2014-10-20;1
2017-09-27;1
2017-09-28;1
2017-09-29;2
2017-10-03;1
2017-10-09;2
2017-10-11;2
2017-10-17;3
2017-10-18;4
2017-10-19;1
2017-10-20;2
2017-10-21;1
2017-10-23;7
2017-10-24;3
2017-10-25;3
2017-10-26;3
2017-10-27;1
2017-10-28;3
2017-10-29;2
2017-10-30;2
2017-10-31;3
2017-11-01;1
2017-11-02;1
2017-11-03;5
2017-11-05;3
2017-11-06;3
2017-11-07;3
2017-11-08;2
2017-11-09;2
2017-11-10;2
2017-11-13;5
2017-11-14;4
2017-11-16;6
2017-11-17;13
2017-11-20;17
2017-11-21;3
2017-11-22;18
2017-11-23;17
2017-11-24;12
2017-11-25;1
2017-11-27;12
2017-11-28;22
2017-11-29;74
2017-11-30;32
2017-12-01;13
2017-12-03;7
2017-12-04;20
2017-12-05;37
2017-12-06;38
2017-12-07;20
2017-12-08;4
2017-12-09;2
2017-12-11;30
2017-12-12;36
2017-12-13;41
2017-12-14;37
2017-12-15;60
2017-12-16;15
2017-12-17;7
2017-12-18;59
2017-12-19;36
2017-12-20;23
2017-12-21;14
2017-12-22;3
2017-12-23;5
2017-12-26;8
2017-12-27;26
2017-12-28;3
2018-01-02;18
2018-01-03;48
2018-01-04;29
2018-01-05;36
2018-01-08;58
2018-01-09;40
2018-01-10;37
2018-01-11;49
2018-01-12;23
2018-01-15;37
2018-01-16;60
2018-01-17;24
2018-01-18;42
2018-01-19;44
2018-01-20;4
2018-01-22;38
2018-01-23;57
2018-01-24;58
2018-01-25;77
2018-01-26;35
2018-01-29;83
2018-01-30;44
2018-01-31;67
2018-02-01;95
2018-02-02;20
2018-02-03;11
2018-02-05;39
2018-02-06;40
2018-02-07;59
2018-02-08;50
2018-02-09;35
2018-02-10;53
2018-02-11;8
2018-02-12;26
2018-02-13;14
2018-02-15;74
2018-02-16;89
2018-02-19;113
2018-02-20;64
2018-02-21;110
2018-02-22;58
2018-02-23;38
2018-02-25;5
2018-02-26;75
2018-02-27;94
2018-02-28;56
2018-03-01;36
2018-03-02;53
2018-03-05;56
2018-03-06;42
2018-03-07;54
2018-03-08;34
2018-03-09;32
2018-03-12;67
2018-03-13;56
2018-03-14;66
2018-03-15;38
2018-03-16;27
2018-03-17;1
2018-03-19;50
2018-03-20;140
2018-03-21;45
2018-03-22;70
2018-03-23;37
2018-03-24;1
2018-03-26;19
2018-03-27;58
2018-03-28;104
2018-03-29;16
2018-03-31;1
2018-04-02;25
2018-04-03;53
2018-04-04;44
2018-04-05;66
2018-04-06;29
2018-04-07;1
2018-04-09;64
2018-04-10;211
2018-04-11;102
2018-04-12;52
2018-04-13;49
2018-04-14;9
2018-04-16;49
2018-04-17;98
2018-04-18;67
2018-04-19;43
2018-04-20;44
2018-04-23;59
2018-04-24;75
2018-04-25;123
2018-04-26;48
2018-04-27;48
2018-04-30;15
2018-05-01;1
2018-05-02;68
2018-05-03;50
2018-05-04;53
2018-05-07;49
2018-05-08;51
2018-05-09;76
2018-05-10;38
2018-05-11;66
2018-05-14;56
2018-05-15;67
2018-05-16;83
2018-05-17;68
2018-05-18;71
2018-05-19;12
2018-05-21;71
2018-05-22;45
2018-05-23;46
2018-05-24;59
2018-05-25;44
2018-05-28;40
2018-05-29;68
2018-05-30;55
2018-06-01;18
2018-06-05;99
2018-06-06;67
2018-06-07;59
2018-06-08;44
2018-06-09;14
2018-06-11;70
2018-06-12;32
2018-06-13;30
2018-06-14;10
2018-06-15;70
2018-06-16;4
2018-06-18;59
2018-06-19;47
2018-06-20;59
2018-06-21;16
2018-06-22;2
2018-06-25;65
2018-06-26;69
2018-06-27;69
2018-06-28;74
2018-06-29;45
2018-07-03;45
2018-07-04;71
2018-07-05;47
2018-07-06;39
2018-07-09;47
2018-07-10;52
2018-07-11;66
2018-07-12;57
2018-07-13;55
2018-07-15;9
2018-07-16;81
2018-07-17;86
2018-07-18;80
2018-07-19;54
2018-07-20;57
2018-07-21;25
2018-07-22;1
2018-07-23;46
2018-07-24;59
2018-07-25;73
2018-07-26;29
2018-07-27;26
2018-07-30;49
2018-07-31;88
2018-08-01;56
2018-08-02;67
2018-08-03;65
2018-08-04;1
2018-08-06;66
2018-08-07;73
2018-08-08;85
2018-08-09;44
2018-08-10;79
2018-08-13;47
2018-08-14;75
2018-08-15;84
2018-08-16;57
2018-08-17;58
2018-08-18;1
2018-08-20;75
2018-08-21;69
2018-08-22;109
2018-08-23;64
2018-08-24;46
2018-08-25;2
2018-08-27;53
2018-08-28;83
2018-08-29;66
2018-08-30;54
2018-08-31;59
2018-09-03;62
2018-09-04;47
2018-09-05;120
2018-09-06;29
2018-09-10;60
2018-09-11;107
2018-09-12;111
2018-09-13;69
2018-09-14;91
2018-09-17;96
2018-09-18;118
2018-09-19;103
2018-09-20;64
2018-09-21;84
2018-09-22;3
2018-09-24;90
2018-09-25;77
2018-09-26;65
2018-09-27;94
2018-09-28;47
2018-09-30;9
2018-10-01;78
2018-10-02;67
2018-10-03;108
2018-10-04;108
2018-10-05;63
2018-10-06;23
2018-10-07;13
2018-10-08;87
2018-10-09;95
2018-10-10;94
2018-10-11;106
2018-10-15;181
2018-10-16;100
2018-10-17;112
2018-10-18;94
2018-10-19;104
2018-10-20;4
2018-10-22;59
2018-10-23;66
2018-10-24;116
2018-10-25;104
2018-10-26;72
2018-10-29;106
2018-10-30;85
2018-10-31;166
2018-11-01;118
2018-11-03;3
2018-11-04;10
2018-11-05;113
2018-11-06;102
2018-11-07;128
2018-11-08;92
2018-11-09;104
2018-11-10;2
2018-11-12;123
2018-11-13;158
2018-11-14;65
2018-11-16;19
2018-11-19;93
2018-11-20;109
2018-11-21;115
2018-11-22;103
2018-11-23;100
2018-11-24;10
2018-11-25;1
2018-11-26;72
2018-11-27;108
2018-11-28;86
2018-11-29;79
2018-11-30;50
2018-12-01;1
2018-12-03;89
2018-12-04;89
2018-12-05;114
2018-12-06;142
2018-12-07;62
2018-12-08;1
2018-12-10;86
2018-12-11;134
2018-12-12;107
2018-12-13;97
2018-12-14;83
2018-12-16;3
2018-12-17;66
2018-12-18;117
2018-12-19;66
2018-12-20;67
2018-12-21;63
2018-12-22;1
2018-12-24;1
2018-12-26;84
2018-12-27;29
2018-12-28;20
2019-01-02;65
2019-01-03;48
2019-01-04;27
2019-01-05;1
2019-01-07;51
2019-01-08;57
2019-01-09;138
2019-01-10;66
2019-01-11;100
2019-01-14;73
2019-01-15;82
2019-01-16;84
2019-01-17;83
2019-01-18;61
2019-01-19;8
2019-01-20;2
2019-01-21;98
2019-01-22;129
2019-01-23;129
2019-01-24;86
2019-01-25;89
2019-01-28;56
2019-01-29;94
2019-01-30;76
2019-01-31;63
2019-02-01;46
2019-02-02;4
2019-02-04;66
2019-02-05;120
2019-02-06;103
2019-02-07;78
2019-02-08;103
2019-02-11;94
2019-02-12;119
2019-02-13;138
2019-02-14;98
2019-02-15;94
2019-02-18;55
2019-02-19;131
2019-02-20;133
2019-02-21;102
2019-02-22;90
2019-02-23;3
2019-02-25;121
2019-02-26;140
2019-02-27;147
2019-02-28;107
2019-03-01;39
2019-03-02;8
2019-03-04;2
2019-03-06;8
2019-03-07;49
2019-03-08;59
2019-03-10;18
2019-03-11;111
2019-03-12;138
2019-03-13;149
2019-03-14;154
2019-03-15;83
2019-03-18;114
2019-03-19;140
2019-03-20;140
2019-03-21;125
2019-03-22;100
2019-03-23;3
2019-03-25;144
2019-03-26;124
2019-03-27;134
2019-03-28;122
2019-03-29;95
2019-03-30;5
2019-03-31;2
2019-04-01;88
2019-04-02;154
2019-04-03;209
2019-04-04;94
2019-04-05;112
2019-04-07;6
2019-04-08;115
2019-04-09;141
2019-04-10;138
2019-04-11;157
2019-04-12;74
2019-04-13;14
2019-04-15;149
2019-04-16;167
2019-04-17;95
2019-04-18;28
2019-04-20;10
2019-04-22;119
2019-04-23;132
2019-04-24;170
2019-04-25;143
2019-04-26;140
2019-04-27;4
2019-04-29;156
2019-04-30;123
2019-05-01;11
2019-05-02;133
2019-05-03;82
2019-05-04;3
2019-05-06;135
2019-05-07;137
2019-05-08;216
2019-05-09;159
2019-05-10;77
2019-05-13;100
2019-05-14;159
2019-05-15;132
2019-05-16;145
2019-05-17;82
2019-05-19;9
2019-05-20;126
2019-05-21;162
2019-05-22;119
2019-05-23;123
2019-05-24;88
2019-05-25;1
2019-05-26;1
2019-05-27;93
2019-05-28;152
2019-05-29;186
2019-05-30;133
2019-05-31;63
2019-06-01;1
2019-06-03;108
2019-06-04;152
2019-06-05;145
2019-06-06;162
2019-06-07;80
2019-06-10;137
2019-06-11;206
2019-06-12;125
2019-06-13;89
2019-06-14;54
2019-06-16;3
2019-06-17;118
2019-06-18;193
2019-06-19;93
2019-06-20;1
2019-06-21;3
2019-06-24;3
2019-06-25;65
2019-06-26;120
2019-06-27;132
2019-06-28;83
2019-06-29;7
2019-07-01;48
2019-07-02;1
2019-07-03;108
2019-07-04;184
2019-07-05;110
2019-07-07;6
2019-07-08;105
2019-07-09;149
2019-07-10;161
2019-07-11;181
2019-07-12;117
2019-07-14;1
2019-07-15;181
2019-07-16;158
2019-07-17;197
2019-07-18;183
2019-07-19;161
2019-07-22;174
2019-07-23;179
2019-07-24;188
2019-07-25;203
2019-07-26;106
2019-07-27;7
2019-07-29;140
2019-07-30;189
2019-07-31;213
2019-08-01;184
2019-08-02;124
2019-08-05;152
2019-08-06;222
2019-08-07;141
2019-08-08;181
2019-08-09;108
2019-08-12;193
2019-08-13;186
2019-08-14;225
2019-08-15;116
2019-08-16;154
2019-08-17;1
2019-08-19;123
2019-08-20;289
2019-08-21;253
2019-08-22;166
2019-08-23;120
2019-08-26;165
2019-08-27;190
2019-08-28;170
2019-08-29;237
2019-08-30;91
2019-09-01;3
2019-09-02;153
2019-09-03;218
2019-09-04;204
2019-09-05;188
2019-09-06;174
2019-09-07;3
2019-09-09;188
2019-09-10;211
2019-09-11;237
2019-09-12;220
2019-09-13;130
2019-09-14;3
2019-09-16;203
2019-09-17;228
2019-09-18;210
2019-09-19;226
2019-09-20;136
2019-09-21;8
2019-09-23;139
2019-09-24;213
2019-09-25;220
2019-09-26;209
2019-09-27;124
2019-09-30;143
2019-10-01;186
2019-10-02;174
2019-10-03;158
2019-10-04;164
2019-10-07;159
2019-10-08;250
2019-10-09;213
2019-10-10;162
2019-10-11;97
2019-10-14;180
2019-10-15;216
2019-10-16;188
2019-10-17;216
2019-10-18;123
2019-10-19;1
2019-10-20;2
2019-10-21;124
2019-10-22;191
2019-10-23;257
2019-10-24;214
2019-10-25;128
2019-10-26;1
2019-10-27;11
2019-10-28;8
2019-10-29;193
2019-10-30;183
2019-10-31;144
2019-11-01;102
2019-11-02;7
2019-11-04;177
2019-11-05;185
2019-11-06;215
2019-11-07;166
2019-11-08;175
2019-11-09;22
2019-11-11;166
2019-11-12;293
2019-11-13;177
2019-11-14;138
2019-11-15;4
2019-11-17;6
2019-11-18;153
2019-11-19;200
2019-11-20;186
2019-11-21;238
2019-11-22;114
2019-11-23;2
2019-11-25;130
2019-11-26;218
2019-11-27;174
2019-11-28;180
2019-11-29;116
2019-11-30;10
2019-12-01;1
2019-12-02;180
2019-12-03;157
2019-12-04;145
2019-12-05;178
2019-12-06;111
2019-12-08;8
2019-12-09;148
2019-12-10;262
2019-12-11;185
2019-12-12;163
2019-12-13;129
2019-12-14;5
2019-12-15;5
2019-12-16;201
2019-12-17;187
2019-12-18;131
2019-12-19;178
2019-12-20;104
2019-12-21;12
2019-12-22;5
2019-12-23;46
2019-12-24;1
2019-12-26;17
2019-12-27;38
2019-12-30;2
2019-12-31;2
2020-01-02;98
2020-01-03;73
2020-01-04;9
2020-01-06;82
2020-01-07;126
2020-01-08;141
2020-01-09;185
2020-01-10;82
2020-01-11;6
2020-01-12;1
2020-01-13;154
2020-01-14;195
2020-01-15;168
2020-01-16;150
2020-01-17;151
2020-01-18;4
2020-01-20;103
2020-01-21;142
2020-01-22;171
2020-01-23;146
2020-01-24;104
2020-01-25;18
2020-01-26;2
2020-01-27;154
2020-01-28;182
2020-01-29;190
2020-01-30;166
2020-01-31;109
2020-02-03;95
2020-02-04;175
2020-02-05;154
2020-02-06;211
2020-02-07;128
2020-02-09;3
2020-02-10;171
2020-02-11;204
2020-02-12;265
2020-02-13;240
2020-02-14;123
2020-02-15;13
2020-02-17;178
2020-02-18;265
2020-02-19;199
2020-02-20;154
2020-02-21;66
2020-02-23;3
2020-02-24;10
2020-02-26;18
2020-02-27;90
2020-02-28;119
2020-03-01;7
2020-03-02;182
2020-03-03;156
2020-03-04;130
2020-03-05;160
2020-03-06;114
2020-03-07;11
2020-03-09;141
2020-03-10;125
2020-03-11;119
2020-03-12;158
2020-03-13;87
2020-03-14;2
2020-03-15;5
2020-03-16;125
2020-03-17;155
2020-03-18;109
2020-03-19;60
2020-03-20;46
2020-03-21;3
2020-03-23;83
2020-03-24;46
2020-03-25;30
2020-03-26;47
2020-03-27;21
2020-03-29;2
2020-03-30;88
2020-03-31;66
2020-04-01;35
2020-04-02;50
2020-04-03;35
2020-04-04;1
2020-04-05;1
