DATADECADASTRO;QTDE
2017-09-21;1
2017-09-26;1
2017-09-27;1
2017-09-28;1
2017-10-10;2
2017-10-17;2
2017-10-21;2
2017-10-24;2
2017-10-25;1
2017-10-26;2
2017-10-28;1
2017-10-31;3
2017-11-02;1
2017-11-06;1
2017-11-07;2
2017-11-09;1
2017-11-10;5
2017-11-13;2
2017-11-14;2
2017-11-16;1
2017-11-17;1
2017-11-20;1
2017-11-21;3
2017-11-22;5
2017-11-23;9
2017-11-24;4
2017-11-27;1
2017-11-28;8
2017-11-29;12
2017-11-30;20
2017-12-01;8
2017-12-03;1
2017-12-04;10
2017-12-05;11
2017-12-06;14
2017-12-07;10
2017-12-08;5
2017-12-11;11
2017-12-12;4
2017-12-13;15
2017-12-14;6
2017-12-15;16
2017-12-16;10
2017-12-18;13
2017-12-19;16
2017-12-20;6
2017-12-21;2
2017-12-28;2
2018-01-02;3
2018-01-03;19
2018-01-04;7
2018-01-05;2
2018-01-08;21
2018-01-09;11
2018-01-10;17
2018-01-11;6
2018-01-12;4
2018-01-15;27
2018-01-16;11
2018-01-17;9
2018-01-18;10
2018-01-19;5
2018-01-22;12
2018-01-23;11
2018-01-24;17
2018-01-25;36
2018-01-26;14
2018-01-29;20
2018-01-30;11
2018-01-31;16
2018-02-01;29
2018-02-02;3
2018-02-03;3
2018-02-05;17
2018-02-06;3
2018-02-07;29
2018-02-08;46
2018-02-09;3
2018-02-10;1
2018-02-11;1
2018-02-12;7
2018-02-13;3
2018-02-15;13
2018-02-16;16
2018-02-19;5
2018-02-20;12
2018-02-21;20
2018-02-22;19
2018-02-23;7
2018-02-26;16
2018-02-27;17
2018-02-28;6
2018-03-01;7
2018-03-02;11
2018-03-05;21
2018-03-06;14
2018-03-07;14
2018-03-08;15
2018-03-09;9
2018-03-12;14
2018-03-13;14
2018-03-14;19
2018-03-15;21
2018-03-16;8
2018-03-19;22
2018-03-20;76
2018-03-21;19
2018-03-22;39
2018-03-23;13
2018-03-24;1
2018-03-26;12
2018-03-27;14
2018-03-28;53
2018-03-29;16
2018-04-02;10
2018-04-03;9
2018-04-04;15
2018-04-05;18
2018-04-06;11
2018-04-09;22
2018-04-10;232
2018-04-11;96
2018-04-12;11
2018-04-13;24
2018-04-16;8
2018-04-17;20
2018-04-18;14
2018-04-19;15
2018-04-20;21
2018-04-23;12
2018-04-24;13
2018-04-25;58
2018-04-26;9
2018-04-27;19
2018-04-28;1
2018-04-30;1
2018-05-02;24
2018-05-03;8
2018-05-04;8
2018-05-07;18
2018-05-08;25
2018-05-09;16
2018-05-10;22
2018-05-11;25
2018-05-14;4
2018-05-15;18
2018-05-16;18
2018-05-17;7
2018-05-18;11
2018-05-19;2
2018-05-21;16
2018-05-22;7
2018-05-23;15
2018-05-24;12
2018-05-25;12
2018-05-28;4
2018-05-29;4
2018-05-30;12
2018-06-01;7
2018-06-05;19
2018-06-06;18
2018-06-07;25
2018-06-08;28
2018-06-09;2
2018-06-11;7
2018-06-12;31
2018-06-13;13
2018-06-14;4
2018-06-15;14
2018-06-18;7
2018-06-19;13
2018-06-20;14
2018-06-21;3
2018-06-25;22
2018-06-26;13
2018-06-27;10
2018-06-28;15
2018-06-29;7
2018-07-03;15
2018-07-04;4
2018-07-05;21
2018-07-06;11
2018-07-09;8
2018-07-10;8
2018-07-11;10
2018-07-12;6
2018-07-13;30
2018-07-16;21
2018-07-17;18
2018-07-18;24
2018-07-19;31
2018-07-20;13
2018-07-21;9
2018-07-22;1
2018-07-23;15
2018-07-24;16
2018-07-25;30
2018-07-26;11
2018-07-27;14
2018-07-30;13
2018-07-31;19
2018-08-01;25
2018-08-02;11
2018-08-03;21
2018-08-05;3
2018-08-06;16
2018-08-07;22
2018-08-08;52
2018-08-09;11
2018-08-10;41
2018-08-13;19
2018-08-14;24
2018-08-15;20
2018-08-16;12
2018-08-17;17
2018-08-18;32
2018-08-20;7
2018-08-21;16
2018-08-22;25
2018-08-23;22
2018-08-24;15
2018-08-27;16
2018-08-28;25
2018-08-29;21
2018-08-30;7
2018-08-31;37
2018-09-03;18
2018-09-04;11
2018-09-05;27
2018-09-06;16
2018-09-10;25
2018-09-11;26
2018-09-12;34
2018-09-13;19
2018-09-14;8
2018-09-17;29
2018-09-18;36
2018-09-19;22
2018-09-20;11
2018-09-21;11
2018-09-22;8
2018-09-24;15
2018-09-25;20
