DATADECADASTRO;QTDE
2017-09-26;1
2017-09-27;1
2017-09-28;1
2017-10-10;1
2017-10-17;2
2017-10-21;1
2017-10-24;2
2017-10-26;2
2017-10-28;1
2017-10-31;2
2017-11-02;1
2017-11-07;1
2017-11-09;1
2017-11-10;1
2017-11-13;1
2017-11-14;2
2017-11-16;1
2017-11-20;1
2017-11-22;1
2017-11-28;1
2017-11-30;1
2017-12-04;1
2017-12-05;2
2017-12-07;1
2017-12-14;1
2017-12-15;1
2017-12-16;1
2017-12-18;1
2018-01-03;1
2018-01-04;2
2018-01-08;2
2018-01-15;1
2018-01-17;2
2018-01-22;2
2018-01-23;1
2018-01-25;1
2018-01-26;1
2018-01-30;1
2018-02-01;3
2018-02-07;4
2018-02-08;3
2018-02-16;2
2018-02-22;2
2018-02-26;2
2018-02-27;1
2018-03-13;1
2018-03-14;1
2018-03-19;1
2018-03-28;1
2018-04-02;1
2018-04-10;1
2018-04-11;2
2018-04-12;1
2018-04-13;1
2018-04-16;3
2018-04-17;1
2018-04-19;1
2018-04-20;1
2018-04-23;2
2018-05-03;1
2018-05-04;1
2018-05-07;1
2018-05-08;2
2018-05-09;1
2018-05-10;2
2018-05-16;2
2018-05-21;1
2018-05-22;1
2018-05-25;1
2018-05-28;1
2018-06-06;1
2018-06-07;2
2018-06-08;1
2018-06-15;1
2018-06-25;1
2018-06-26;1
2018-06-27;1
2018-07-05;1
2018-07-16;3
2018-07-18;2
2018-07-19;3
2018-07-20;1
2018-07-25;2
2018-07-27;1
2018-08-01;4
2018-08-02;1
2018-08-03;1
2018-08-06;3
2018-08-07;2
2018-08-08;2
2018-08-09;1
2018-08-13;1
2018-08-17;1
2018-08-21;2
2018-08-22;3
2018-08-23;1
2018-08-27;1
2018-08-28;2
2018-08-31;1
2018-09-03;1
2018-09-04;1
2018-09-05;2
2018-09-10;1
2018-09-11;1
2018-09-13;1
2018-09-17;1
2018-09-18;4
2018-09-19;1
2018-09-21;1
2018-09-22;1
2018-09-24;1
2018-09-28;2
2018-10-02;1
2018-10-05;1
2018-10-09;1
2018-10-10;1
2018-10-11;1
2018-10-17;1
2018-10-18;1
2018-10-22;1
2018-10-23;1
2018-10-26;2
2018-10-30;2
2018-11-05;1
2018-11-07;1
2018-11-08;1
2018-11-09;3
2018-11-19;2
2018-11-20;1
2018-11-26;3
2018-11-29;1
2018-12-03;1
2018-12-05;1
2018-12-11;1
2018-12-14;1
2018-12-17;1
2018-12-20;1
2019-01-03;1
2019-01-09;1
2019-01-10;1
2019-01-11;1
2019-01-18;1
2019-01-22;1
2019-01-28;2
2019-01-29;1
2019-02-04;2
2019-02-05;2
2019-02-06;2
2019-02-07;2
2019-02-08;1
2019-02-11;1
2019-02-12;1
2019-02-13;4
2019-02-15;2
2019-02-18;1
2019-02-20;4
2019-02-26;2
2019-02-27;1
2019-03-08;1
2019-03-11;2
2019-03-15;1
2019-03-18;1
2019-03-21;1
2019-03-25;1
2019-03-26;1
2019-03-27;1
2019-04-04;1
2019-04-08;1
2019-04-09;1
2019-04-15;2
2019-04-17;1
2019-04-24;1
2019-04-26;2
2019-04-29;1
2019-05-06;1
2019-05-07;1
2019-05-08;1
2019-05-15;2
2019-05-16;2
2019-05-17;1
2019-05-21;2
2019-05-22;1
2019-05-23;1
2019-05-27;1
2019-05-28;1
2019-06-04;1
2019-06-12;1
2019-06-17;1
2019-06-25;1
2019-06-26;1
2019-06-27;1
2019-07-03;1
2019-07-05;1
2019-07-09;1
2019-07-11;1
